frame_idx,timestamp,cx,cy,area,command
0,1764915394.06968,154,282,38270,FORWARD
1,1764915394.2136402,153,283,37901,FORWARD
2,1764915394.2234857,152,284,37819,FORWARD
3,1764915394.2323751,152,284,37509,FORWARD
4,1764915394.2394006,152,285,37490,FORWARD
5,1764915394.2490935,152,285,37392,FORWARD
6,1764915394.2592585,153,284,37307,FORWARD
7,1764915394.2678707,152,283,37162,FORWARD
8,1764915394.2771535,152,282,37183,FORWARD
9,1764915394.2846768,152,281,37359,FORWARD
10,1764915394.2948134,151,281,37192,FORWARD
11,1764915394.307316,150,281,37168,FORWARD
12,1764915394.3149455,149,281,37257,FORWARD
13,1764915394.3233469,149,281,37183,FORWARD
14,1764915394.3319697,149,280,37170,FORWARD
15,1764915394.341982,149,278,36962,FORWARD
16,1764915394.349488,149,278,36632,FORWARD
17,1764915394.3594804,149,277,36622,FORWARD
18,1764915394.3663332,149,277,36841,FORWARD
19,1764915394.3739824,149,276,37196,FORWARD
20,1764915394.3829515,149,276,37117,FORWARD
21,1764915394.391111,147,276,37107,FORWARD
22,1764915394.3985026,146,274,36699,FORWARD
23,1764915394.4074895,146,274,36699,FORWARD
24,1764915394.414793,144,274,36387,FORWARD
25,1764915394.4236338,142,275,35884,FORWARD
26,1764915394.4329395,140,275,35130,FORWARD
27,1764915394.4397337,139,276,34716,FORWARD
28,1764915394.4458878,138,276,34455,FORWARD
29,1764915394.4532475,138,277,33821,FORWARD
30,1764915394.4606524,137,278,33353,FORWARD
31,1764915394.4674776,136,277,32952,FORWARD
32,1764915394.4738882,136,278,32359,FORWARD
33,1764915394.4801557,136,277,32362,FORWARD
34,1764915394.4865553,136,278,32569,FORWARD
35,1764915394.494126,136,278,32566,FORWARD
36,1764915394.5018773,136,277,32719,FORWARD
37,1764915394.5089345,136,275,32480,FORWARD
38,1764915394.5154347,136,277,32653,FORWARD
39,1764915394.52144,133,279,32941,FORWARD
40,1764915394.5283792,125,277,33213,TURN_LEFT
41,1764915394.534483,111,272,34033,TURN_LEFT
42,1764915394.542854,90,263,35069,TURN_LEFT
43,1764915394.5494573,79,252,30036,TURN_LEFT
44,1764915394.5563955,67,240,24351,TURN_LEFT
45,1764915394.5627463,55,230,18661,TURN_LEFT
46,1764915394.5686436,46,222,13410,TURN_LEFT
47,1764915394.5761373,32,209,8803,TURN_LEFT
48,1764915394.5823905,18,194,5166,TURN_LEFT
49,1764915394.590894,10,182,3109,TURN_LEFT
50,1764915394.5993497,6,176,1923,TURN_LEFT
51,1764915394.609595,5,177,1751,TURN_LEFT
52,1764915394.6168396,5,179,1708,TURN_LEFT
53,1764915394.6267817,6,181,1790,TURN_LEFT
54,1764915394.6343334,6,182,1884,TURN_LEFT
55,1764915394.6464906,7,184,2143,TURN_LEFT
56,1764915394.6536915,9,191,2875,TURN_LEFT
57,1764915394.6601808,14,200,4146,TURN_LEFT
58,1764915394.6668453,22,212,6104,TURN_LEFT
59,1764915394.6746116,33,226,9152,TURN_LEFT
60,1764915394.6823695,47,240,14451,TURN_LEFT
61,1764915394.6906457,61,249,21790,TURN_LEFT
62,1764915394.700283,76,260,28519,TURN_LEFT
63,1764915394.7089045,88,270,33880,TURN_LEFT
64,1764915394.715761,103,274,36118,TURN_LEFT
65,1764915394.722961,121,278,35381,TURN_LEFT
66,1764915394.7302408,131,278,34507,FORWARD
67,1764915394.7395163,135,278,34196,FORWARD
68,1764915394.7483168,139,277,33942,FORWARD
69,1764915394.7583413,140,277,33839,FORWARD
70,1764915394.7651622,141,277,33786,FORWARD
71,1764915394.7709913,143,277,33813,FORWARD
72,1764915394.7781334,144,277,33794,FORWARD
73,1764915394.7893355,144,277,33753,FORWARD
74,1764915394.798069,145,278,33958,FORWARD
75,1764915394.8057954,151,283,34674,FORWARD
76,1764915394.814771,160,293,35015,FORWARD
77,1764915394.8224897,172,308,35040,FORWARD
78,1764915394.8306072,188,327,34894,FORWARD
79,1764915394.84123,205,347,34412,TURN_RIGHT
80,1764915394.8498278,218,367,32032,TURN_RIGHT
81,1764915394.8583355,229,387,28938,TURN_RIGHT
82,1764915394.865282,238,404,26743,TURN_RIGHT
83,1764915394.8744326,244,418,25419,TURN_RIGHT
84,1764915394.882527,249,430,24453,TURN_RIGHT
85,1764915394.891095,252,440,23448,TURN_RIGHT
86,1764915394.8994272,253,447,23161,TURN_RIGHT
87,1764915394.906401,253,451,23019,TURN_RIGHT
88,1764915394.9123542,253,452,22950,TURN_RIGHT
89,1764915394.9194365,253,452,22966,TURN_RIGHT
90,1764915394.9294415,252,450,23125,TURN_RIGHT
91,1764915394.9383357,249,443,24102,TURN_RIGHT
92,1764915394.9466226,244,433,25412,TURN_RIGHT
93,1764915394.9534192,237,421,27072,TURN_RIGHT
94,1764915394.9610121,229,405,29138,TURN_RIGHT
95,1764915394.9680862,220,387,31329,TURN_RIGHT
96,1764915394.977461,210,366,33512,TURN_RIGHT
97,1764915394.984628,192,340,33849,FORWARD
98,1764915394.992703,178,317,34122,FORWARD
99,1764915394.999573,166,295,34617,FORWARD
100,1764915395.0101762,155,275,34695,FORWARD
101,1764915395.0182886,147,260,35057,FORWARD
102,1764915395.0275085,140,247,34864,FORWARD
103,1764915395.034756,135,240,34657,FORWARD
104,1764915395.0428765,133,236,34292,FORWARD
105,1764915395.0494602,132,236,34339,FORWARD
106,1764915395.05737,131,237,34243,FORWARD
107,1764915395.065134,129,239,34161,FORWARD
108,1764915395.072007,129,242,34201,FORWARD
109,1764915395.081462,132,247,34482,FORWARD
110,1764915395.0881374,139,255,34623,FORWARD
111,1764915395.096127,151,265,34862,FORWARD
112,1764915395.1036499,167,276,34360,FORWARD
113,1764915395.112656,182,287,33820,FORWARD
114,1764915395.119986,194,294,33454,TURN_RIGHT
115,1764915395.128776,205,300,33209,TURN_RIGHT
116,1764915395.1357982,214,303,32553,TURN_RIGHT
117,1764915395.143411,218,304,31524,TURN_RIGHT
118,1764915395.15151,221,303,30944,TURN_RIGHT
119,1764915395.1585114,223,301,30411,TURN_RIGHT
120,1764915395.1664467,224,299,30451,TURN_RIGHT
121,1764915395.1730347,224,298,30397,TURN_RIGHT
122,1764915395.1792195,223,298,30534,TURN_RIGHT
123,1764915395.185864,222,298,30793,TURN_RIGHT
124,1764915395.195181,220,298,31206,TURN_RIGHT
125,1764915395.202194,218,298,31650,TURN_RIGHT
126,1764915395.209335,216,299,32022,TURN_RIGHT
127,1764915395.2157278,214,300,32346,TURN_RIGHT
128,1764915395.2223368,213,301,32502,TURN_RIGHT
129,1764915395.2305937,209,303,32491,TURN_RIGHT
130,1764915395.237622,203,305,32472,TURN_RIGHT
131,1764915395.2468135,194,305,32668,TURN_RIGHT
132,1764915395.2544272,180,302,33080,FORWARD
133,1764915395.2623096,162,298,33379,FORWARD
134,1764915395.268807,144,291,33607,FORWARD
135,1764915395.2774975,126,284,33909,TURN_LEFT
136,1764915395.285465,113,279,33927,TURN_LEFT
137,1764915395.2932124,102,273,33227,TURN_LEFT
138,1764915395.3007624,97,272,33622,TURN_LEFT
139,1764915395.308501,96,271,33799,TURN_LEFT
140,1764915395.3172226,98,270,33896,TURN_LEFT
141,1764915395.3236384,100,269,34146,TURN_LEFT
142,1764915395.3315957,102,268,34270,TURN_LEFT
143,1764915395.33813,104,267,34298,TURN_LEFT
144,1764915395.3451397,107,268,34531,TURN_LEFT
145,1764915395.3518395,112,274,34567,TURN_LEFT
146,1764915395.3597622,119,282,34650,TURN_LEFT
147,1764915395.3675222,126,294,34560,TURN_LEFT
148,1764915395.374321,131,306,33976,FORWARD
149,1764915395.382054,135,318,33674,FORWARD
150,1764915395.3888412,138,330,33027,FORWARD
151,1764915395.3970504,139,341,32971,FORWARD
152,1764915395.4051433,140,351,32967,FORWARD
153,1764915395.4134965,140,359,32797,FORWARD
154,1764915395.4216828,138,366,32610,FORWARD
155,1764915395.429392,137,372,32727,FORWARD
156,1764915395.437283,137,377,32522,FORWARD
157,1764915395.4462223,137,379,32345,FORWARD
158,1764915395.454458,137,379,32404,FORWARD
159,1764915395.4618995,138,379,32436,FORWARD
160,1764915395.4676518,139,377,32653,FORWARD
161,1764915395.4736679,140,374,32735,FORWARD
162,1764915395.480637,141,369,32795,FORWARD
163,1764915395.4880638,141,362,32997,FORWARD
164,1764915395.4973192,140,353,33349,FORWARD
165,1764915395.5041516,139,342,33577,FORWARD
166,1764915395.511,139,330,33673,FORWARD
167,1764915395.5180416,140,317,33949,FORWARD
168,1764915395.5267076,142,304,34212,FORWARD
169,1764915395.5344791,144,290,34425,FORWARD
170,1764915395.5465949,147,278,34648,FORWARD
171,1764915395.553314,149,266,34730,FORWARD
172,1764915395.5603206,148,256,34416,FORWARD
173,1764915395.567764,146,249,34431,FORWARD
174,1764915395.5760598,141,245,34317,FORWARD
175,1764915395.5844367,132,242,34522,FORWARD
176,1764915395.5920846,117,239,34664,TURN_LEFT
177,1764915395.5989046,101,236,34829,TURN_LEFT
178,1764915395.605793,87,234,33374,TURN_LEFT
179,1764915395.6141336,79,233,29971,TURN_LEFT
180,1764915395.621968,72,233,26774,TURN_LEFT
181,1764915395.6298778,65,234,23881,TURN_LEFT
182,1764915395.6364906,60,235,21493,TURN_LEFT
183,1764915395.6433668,56,235,19382,TURN_LEFT
184,1764915395.651298,52,236,17689,TURN_LEFT
185,1764915395.658675,50,237,16883,TURN_LEFT
186,1764915395.6670594,50,240,17140,TURN_LEFT
187,1764915395.674305,53,241,18197,TURN_LEFT
188,1764915395.6812625,56,242,19791,TURN_LEFT
189,1764915395.688504,62,244,22257,TURN_LEFT
190,1764915395.6966717,69,248,25234,TURN_LEFT
191,1764915395.704016,76,255,28665,TURN_LEFT
192,1764915395.7106695,84,260,31757,TURN_LEFT
193,1764915395.7173235,92,265,34349,TURN_LEFT
194,1764915395.723772,104,269,34112,TURN_LEFT
195,1764915395.7307596,116,273,33890,TURN_LEFT
196,1764915395.7380803,127,277,33530,TURN_LEFT
197,1764915395.7452352,137,282,33392,FORWARD
198,1764915395.7526274,144,285,33237,FORWARD
199,1764915395.7597964,148,286,32999,FORWARD
200,1764915395.7668061,151,286,32878,FORWARD
201,1764915395.7736022,154,285,32925,FORWARD
202,1764915395.7819061,158,284,33019,FORWARD
203,1764915395.7887108,163,282,33185,FORWARD
204,1764915395.796313,169,280,33166,FORWARD
205,1764915395.8037996,175,278,33153,FORWARD
206,1764915395.8113487,182,278,33207,FORWARD
207,1764915395.8197892,189,279,33563,FORWARD
208,1764915395.8278024,198,284,34028,TURN_RIGHT
209,1764915395.8363853,208,294,34222,TURN_RIGHT
210,1764915395.8449256,219,308,31968,TURN_RIGHT
211,1764915395.8527408,225,321,30399,TURN_RIGHT
212,1764915395.8600094,229,334,29107,TURN_RIGHT
213,1764915395.867429,232,344,28639,TURN_RIGHT
214,1764915395.875589,235,352,28004,TURN_RIGHT
215,1764915395.8847187,238,358,27258,TURN_RIGHT
216,1764915395.8925452,241,363,26390,TURN_RIGHT
217,1764915395.8998713,242,363,26128,TURN_RIGHT
218,1764915395.9068983,242,361,26261,TURN_RIGHT
219,1764915395.9135864,241,358,26237,TURN_RIGHT
220,1764915395.920384,237,350,27293,TURN_RIGHT
221,1764915395.927437,231,341,28760,TURN_RIGHT
222,1764915395.935509,224,331,30399,TURN_RIGHT
223,1764915395.942633,213,318,32530,TURN_RIGHT
224,1764915395.9492652,194,304,32864,TURN_RIGHT
225,1764915395.956178,178,292,32958,FORWARD
226,1764915395.9640317,164,281,33509,FORWARD
227,1764915395.972426,153,273,33404,FORWARD
228,1764915395.9791405,145,268,33687,FORWARD
229,1764915395.987594,141,265,33368,FORWARD
230,1764915395.9942656,140,265,33397,FORWARD
231,1764915396.0009208,140,264,33565,FORWARD
232,1764915396.0086021,140,264,33702,FORWARD
233,1764915396.0166423,139,263,33670,FORWARD
234,1764915396.0236676,137,262,33726,FORWARD
235,1764915396.030329,135,262,33764,FORWARD
236,1764915396.0379038,134,263,33880,FORWARD
237,1764915396.045295,132,265,33694,FORWARD
238,1764915396.0531743,130,265,33518,FORWARD
239,1764915396.0599916,129,265,33657,FORWARD
240,1764915396.067053,127,265,33804,TURN_LEFT
241,1764915396.073143,127,265,33901,TURN_LEFT
242,1764915396.0795777,127,264,33928,TURN_LEFT
243,1764915396.0858831,127,263,33916,TURN_LEFT
244,1764915396.0951483,127,262,33847,TURN_LEFT
245,1764915396.1025991,127,261,33961,TURN_LEFT
246,1764915396.109169,127,259,34635,TURN_LEFT
247,1764915396.1172955,129,256,35536,FORWARD
248,1764915396.1241074,130,254,36668,FORWARD
249,1764915396.1309006,131,252,37339,FORWARD
250,1764915396.138776,132,250,37791,FORWARD
251,1764915396.1470761,132,250,37876,FORWARD
252,1764915396.1551774,133,249,37871,FORWARD
253,1764915396.1634734,133,247,38142,FORWARD
254,1764915396.170202,134,246,38383,FORWARD
255,1764915396.1770182,134,245,38544,FORWARD
256,1764915396.1847801,134,245,38716,FORWARD
257,1764915396.1917958,134,244,38844,FORWARD
258,1764915396.2011857,134,244,39006,FORWARD
259,1764915396.2081604,134,244,39439,FORWARD
260,1764915396.2141688,133,244,39957,FORWARD
261,1764915396.2201958,133,244,40621,FORWARD
262,1764915396.226527,133,244,41235,FORWARD
263,1764915396.2336097,133,245,41559,FORWARD
264,1764915396.2420087,132,246,42031,FORWARD
265,1764915396.2488756,132,246,42126,FORWARD
266,1764915396.2562568,132,246,42147,FORWARD
267,1764915396.2625036,132,245,42222,FORWARD
268,1764915396.2692733,132,244,42200,FORWARD
269,1764915396.2764838,132,243,42208,FORWARD
270,1764915396.284068,133,242,42231,FORWARD
271,1764915396.292214,132,242,42137,FORWARD
272,1764915396.2999709,132,242,42103,FORWARD
273,1764915396.3062718,132,242,42135,FORWARD
274,1764915396.3120048,132,242,42087,FORWARD
275,1764915396.3194747,132,243,42019,FORWARD
276,1764915396.3260515,132,243,41898,FORWARD
277,1764915396.3349853,132,244,41762,FORWARD
278,1764915396.3432941,132,244,41683,FORWARD
279,1764915396.3503962,132,245,41587,FORWARD
280,1764915396.3567064,132,246,41465,FORWARD
281,1764915396.3626337,131,247,41201,FORWARD
282,1764915396.3687873,131,248,40923,FORWARD
283,1764915396.3749595,130,249,40750,FORWARD
